                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7504,                 4.1516,                 2.2016,                0.00329,                0.25394,                0.00498,                0.00138,                 2.4809,                 4.2911,                 2.1173,                  5e-05,                  5e-05,                  5e-05
                      2,                 2.4063,                 4.0348,                 1.9199,                0.00846,                0.45039,                0.02388,                0.00827,                 2.0526,                 4.1282,                 1.7191,             0.00010891,             0.00010891,             0.00010891
                      3,                 2.0347,                  3.585,                 1.6988,                0.01159,                0.58569,                0.03327,                0.01193,                   1.94,                 3.9788,                 1.5306,             0.00016663,             0.00016663,             0.00016663
                      4,                 2.0437,                 3.1166,                 1.6025,                 0.0133,                0.64582,                0.05435,                0.01787,                 1.9758,                  3.807,                 1.4701,             0.00022317,             0.00022317,             0.00022317
                      5,                 1.9847,                 2.7912,                 1.5363,                0.01601,                0.68143,                0.06632,                0.02428,                 1.9812,                    3.6,                 1.4346,             0.00027852,             0.00027852,             0.00027852
                      6,                 1.9402,                 2.5692,                 1.5457,                0.61312,                0.09225,                0.08342,                0.03749,                 1.8292,                 3.3047,                 1.3943,             0.00033268,             0.00033268,             0.00033268
                      7,                 1.7829,                 2.4497,                 1.4597,                0.61145,                0.12896,                0.11645,                 0.0503,                 1.8074,                 3.0646,                    1.4,             0.00038565,             0.00038565,             0.00038565
                      8,                 1.8251,                  2.379,                 1.4864,                0.54942,                0.13291,                0.12961,                0.06656,                  1.767,                  3.015,                 1.4201,             0.00043743,             0.00043743,             0.00043743
                      9,                  1.753,                 2.2311,                 1.4226,                0.51404,                0.12092,                0.12178,                 0.0603,                 1.7634,                 3.1193,                 1.4847,             0.00048802,             0.00048802,             0.00048802
                     10,                  1.767,                 2.0805,                 1.4019,                0.48899,                0.13191,                0.11435,                0.05166,                 1.8176,                 3.1823,                 1.5381,             0.00053743,             0.00053743,             0.00053743
                     11,                  1.712,                 2.0756,                 1.4084,                0.52458,                0.18735,                0.16875,                 0.0854,                 1.7257,                 2.9182,                 1.4308,             0.00058565,             0.00058565,             0.00058565
                     12,                 1.7668,                 1.9806,                 1.4061,                0.53426,                0.12668,                0.16835,                0.08366,                 1.7035,                 3.0052,                 1.4423,             0.00063268,             0.00063268,             0.00063268
                     13,                 1.7613,                 2.0045,                 1.3819,                0.64012,                0.07242,                0.18093,                0.08902,                 1.7621,                 3.0398,                 1.4833,             0.00067852,             0.00067852,             0.00067852
